Flu Type,Death/Million (AVG),Global mortality rate
"Spanish flu (estimated by Patterson & Pyle, 1991)",32,1.70%
"Spanish flu (estimated by Johnson & Mueller, 2002)",75,4.05%
"Spanish flu (estimated by Spreeuwenberg et al., 2018)",17.4,0.95%
"Asian flu (estimated by Gatherer, 2009)",1.5,0.05%
"Asian flu (estimated by Michaelis et al., 2009)",3,0.10%
Hong Kong flu (WHO),2.5,0.07%
"Hong Kong flu (estimated by Michaelis et al., 2009)",1.5,0.04%
"Russian flu (estimated by Michaelis et al., 2009)",0.7,0.02%
"Typical flu season (estimated by Paget et al., 2019)",0.4,0.01%
COVID-19 (WHO),6.2,0.08%
H1N1 Swine flu,0.28,0.004%
