date,new_cases,icu_patients
2020-01-22,0,0,
2020-01-23,0.0,
2020-01-24,1.0,
2020-01-25,0.0,
2020-01-26,3.0,
2020-01-27,0.0,
2020-01-28,0.0,
2020-01-29,1.0,
2020-01-30,0.0,
2020-01-31,2.0,
2020-02-01,0.0,
2020-02-02,0.0,
2020-02-03,3.0,
2020-02-04,0.0,
2020-02-05,0.0,
2020-02-06,1.0,
2020-02-07,0.0,
2020-02-08,0.0,
2020-02-09,0.0,
2020-02-10,0.0,
2020-02-11,1.0,
2020-02-12,0.0,
2020-02-13,1.0,
2020-02-14,0.0,
2020-02-15,0.0,
2020-02-16,0.0,
2020-02-17,0.0,
2020-02-18,0.0,
2020-02-19,0.0,
2020-02-20,0.0,
2020-02-21,2.0,
2020-02-22,0.0,
2020-02-23,0.0,
2020-02-24,0.0,
2020-02-25,0.0,
2020-02-26,0.0,
2020-02-27,1.0,
2020-02-28,0.0,
2020-02-29,8.0,
2020-03-01,7.0,
2020-03-02,23.0,
2020-03-03,19.0,
2020-03-04,33.0,
2020-03-05,77.0,
2020-03-06,53.0,
2020-03-07,166.0,
2020-03-08,116.0,
2020-03-09,75.0,
2020-03-10,188.0,
2020-03-11,365.0,
2020-03-12,439.0,
2020-03-13,633.0,
2020-03-14,759.0,
2020-03-15,234.0,
2020-03-16,1467.0,
2020-03-17,1833.0,
2020-03-18,2657.0,
2020-03-19,4494.0,
2020-03-20,6367.0,
2020-03-21,5995.0,
2020-03-22,8919.0,
2020-03-23,11152.0,
2020-03-24,10618.0,
2020-03-25,12127.0,
2020-03-26,17821.0,
2020-03-27,18591.0,
2020-03-28,22164.0,
2020-03-29,16127.0,
2020-03-30,22154.0,
2020-03-31,26381.0,
2020-04-01,31175.0,
2020-04-02,32276.0,
2020-04-03,32401.0,
2020-04-04,31845.0,
2020-04-05,29240.0,
2020-04-06,31782.0,
2020-04-07,30036.0,
2020-04-08,31063.0,
2020-04-09,35610.0,
2020-04-10,34283.0,
2020-04-11,28924.0,
2020-04-12,26308.0,
2020-04-13,27143.0,
2020-04-14,28328.0,
2020-04-15,25897.0,
2020-04-16,29638.0,
2020-04-17,33107.0,
2020-04-18,27329.0,
2020-04-19,25422.0,
2020-04-20,30084.0,
2020-04-21,26075.0,
2020-04-22,29881.0,
2020-04-23,31965.0,
2020-04-24,31965.0,
2020-04-25,30914.0,
2020-04-26,25971.0,
2020-04-27,24649.0,
2020-04-28,24573.0,
2020-04-29,26852.0,
2020-04-30,29702.0,
2020-05-01,34892.0,
2020-05-02,26765.0,
2020-05-03,23733.0,
2020-05-04,23802.0,
2020-05-05,24019.0,
2020-05-06,24482.0,
2020-05-07,27739.0,
2020-05-08,27183.0,
2020-05-09,24454.0,
2020-05-10,18746.0,
2020-05-11,19077.0,
2020-05-12,23382.0,
2020-05-13,20015.0,
