Year,Sales,Genres
1997,4.9,Pop
1984,3.69,Pop
1975,2.36,"Hard rock, Alternative/Indie"
1977,2.0,Rock
1978,2.0,Pop
1978,2.0,Pop
1983,2.0,Alternative/Indie
1963,1.9,"Pop, Rock & roll"
1995,1.86,Jazz
1994,1.85,Pop
1978,1.85,"R&B, Pop"
1984,1.83,"R&B, Pop"
1997,1.79,Bubblegum
2002,1.79,Pop
1963,1.77,"R&B, Alternative/Indie"
1998,1.74,Dance-pop
1991,1.72,R&B
1984,1.6,Pop
1975,1.6,Alternative/Indie
1978,1.59,"Rock, Pop"
1984,1.58,"R&B, Alternative/Indie"
1997,1.56,R&B
1997,1.55,Rock
1981,1.54,Pop
1964,1.53,Rock&roll
1992,1.53,Country
1996,1.53,Alternative/Indie
1965,1.52,"Electronica, Dance-pop"
1999,1.51,"Pop, Dance-pop"
1998,1.48,Pop
1983,1.47,R&B
1978,1.46,Disco
1984,1.45,Pop
1955,1.42,Rock&roll
1964,1.41,Alternative/Indie
1965,1.41,Folk rock
1995,1.41,Hip hop
1982,1.41,"Hard rock, Alternative/Indie"
1985,1.39,Pop rock
1964,1.39,Folk rock
1967,1.38,Pop
2011,1.36,Pop
1996,1.36,R&B
2002,1.34,"Pop, Country"
1996,1.32,Dance-pop
2005,1.31,Pop
1997,1.31,"R&B, Pop"
1982,1.31,Alternative/Indie
1994,1.3,Soft rock
2009,1.3,Pop
2001,1.28,R&B
1981,1.27,Northern soul
1979,1.27,Pop
2011,1.27,Pop
1995,1.26,Alternative/Indie
1960,1.26,"R&B, Pop"
1957,1.25,"R&B, Pop"
1997,1.25,New school hip hop
2008,1.24,Folk rock
1966,1.23,"R&B, Pop"
2008,1.2,Alternative/Indie
1979,1.2,Alternative/Indie
1973,1.19,Seasonal
1998,1.18,Pop
1957,1.18,Jazz
1967,1.17,Rock
1995,1.16,R&B
2004,1.16,Pop
1983,1.16,Alternative/Indie
1961,1.16,Pop
1976,1.16,Soft rock
2001,1.15,Pop
1973,1.14,"R&B, Alternative/Indie"
1996,1.14,"Alternative/Indie, Pop"
1994,1.14,Dance-pop
2011,1.13,Electronic dance music
1998,1.13,Pop
2010,1.12,Pop
2011,1.12,Electropop
1995,1.11,R&B
1997,1.11,"Alternative/Indie, Pop"
1978,1.11,Rock
1997,1.11,Pop
1996,1.11,"R&B, Pop"
1997,1.11,"Rock, Pop"
2009,1.11,Dance-pop
1962,1.1,Glam metal
2005,1.1,Pop
1984,1.09,Dance-pop
2001,1.09,"R&B, Pop"
1979,1.08,"Progressive rock, Pop"
1995,1.07,Pop
1999,1.07,"Pop, Dance-pop"
2011,1.07,Hip hop
1968,1.06,Pop rock
1962,1.06,Pop
2011,1.06,"Alternative/Indie, Pop"
1976,1.06,Disco
1977,1.05,Disco
2010,1.05,Hip hop
1982,1.05,Funk
1989,1.05,Electronic dance music
2010,1.04,Dance-pop
1965,1.04,Country
2007,1.04,"R&B, Pop"
2006,1.04,Funk
1981,1.03,"Rock, Pop"
1998,1.03,"Hard rock, Glam metal"
2000,1.02,Pop
1983,1.02,Pop rock
1979,1.02,Disco
1975,1.02,Soft rock
1969,1.02,Bubblegum
1976,1.01,Pop
1971,1.01,Pop
1942,1.01,Seasonal
1976,1.01,Pop
1982,1.01,Jazz
1972,1.01,Orchestral
1972,1.0,Pop
1976,1.0,Pop
1973,1.0,Pop
2010,1.0,Pop rock
