name,code,pop,location,new_cases,icu_patients,new_deaths
Antigua and Barbuda,ATG,83039,Antigua and Barbuda,759,0,736
Algeria,DZA,32854159,Algeria,778,569,762
Azerbaijan,AZE,8352021,Azerbaijan,773,0,761
Albania,ALB,3153731,Albania,765,0,763
Armenia,ARM,3017661,Armenia,773,0,747
Angola,AGO,16095214,Angola,754,0,744
Argentina,ARG,38747148,Argentina,771,637,766
Australia,AUS,20310208,Australia,806,743,770
Bahrain,BHR,724788,Bahrain,779,0,758
Barbados,BRB,291933,Barbados,757,0,738
Bermuda,BMU,64174,Bermuda,755,0,737
Bahamas,BHS,323295,Bahamas,757,0,742
Bangladesh,BGD,15328112,Bangladesh,766,0,756
Belize,BLZ,275546,Belize,751,0,735
Bosnia and Herzegovina,BIH,3915238,Bosnia and Herzegovina,769,0,751
Bolivia,BOL,9182015,Bolivia,763,335,745
Benin,BEN,8490301,Benin,757,0,737
Solomon Islands,SLB,472419,Solomon Islands,547,0,77
Brazil,BRA,186830759,Brazil,775,0,757
Bulgaria,BGR,7744591,Bulgaria,766,728,763
Canada,CAN,32270507,Canada,808,765,762
Cambodia,KHM,13955507,Cambodia,807,0,398
Sri Lanka,LKA,19120763,Sri Lanka,807,0,746
Congo,COG,3609851,Congo,759,0,740
Burundi,BDI,7858791,Burundi,743,0,730
China,CHN,1312978855,China,809,0,810
Afghanistan,AFG,25067407,Afghanistan,777,0,751
Bhutan,BTN,637013,Bhutan,768,0,460
Chile,CHL,16295102,Chile,780,742,749
Cayman Islands,CYM,45591,Cayman Islands,757,0,757
Cameroon,CMR,17795149,Cameroon,764,0,749
Chad,TCD,10145609,Chad,755,0,715
Comoros,COM,797902,Comoros,713,0,706
Colombia,COL,4494579,Colombia,768,0,752
Costa Rica,CRI,4327228,Costa Rica,768,0,755
Central African Republic,CAF,4191429,Central African Republic,759,0,690
Cuba,CUB,11259905,Cuba,762,0,755
Cape Verde,CPV,506807,Cape Verde,754,0,749
Cook Islands,COK,13984,Cook Islands,327,0,0
Cyprus,CYP,836321,Cyprus,764,756,749
Denmark,DNK,5416945,Denmark,775,778,758
