name,code,pop,location,new_cases,icu_patients,new_deaths
Antigua and Barbuda,ATG,83039,Antigua and Barbuda,7525.0,0.0,135.0
Algeria,DZA,32854159,Algeria,265730.0,16279.0,6874.0
Azerbaijan,AZE,8352021,Azerbaijan,792289.0,0.0,9703.0
Albania,ALB,3153731,Albania,274272.0,0.0,3494.0
Armenia,ARM,3017661,Armenia,422691.0,0.0,8623.0
Angola,AGO,16095214,Angola,99194.0,0.0,1903.0
Argentina,ARG,38747148,Argentina,9056203.0,1894541.0,128268.0
Australia,AUS,20310208,Australia,5237080.0,56524.0,6651.0
Bahrain,BHR,724788,Bahrain,561065.0,0.0,1473.0
Barbados,BRB,291933,Barbados,62968.0,0.0,379.0
Bermuda,BMU,64174,Bermuda,12763.0,0.0,130.0
Bahamas,BHS,323295,Bahamas,33414.0,0.0,789.0
Bangladesh,BGD,15328112,Bangladesh,1952131.0,0.0,29124.0
Belize,BLZ,275546,Belize,57318.0,0.0,676.0
Bosnia and Herzegovina,BIH,3915238,Bosnia and Herzegovina,376264.0,0.0,15764.0
Bolivia,BOL,9182015,Bolivia,903584.0,37569.0,21899.0
Benin,BEN,8490301,Benin,27161.0,0.0,163.0
Solomon Islands,SLB,472419,Solomon Islands,12288.0,0.0,140.0
Brazil,BRA,186830759,Brazil,30079204.0,0.0,661741.0
Bulgaria,BGR,7744591,Bulgaria,1147165.0,237482.0,36740.0
Canada,CAN,32270507,Canada,3545510.0,405455.0,38215.0
Cambodia,KHM,13955507,Cambodia,135980.0,0.0,3055.0
Sri Lanka,LKA,19120763,Sri Lanka,662717.0,0.0,16492.0
Congo,COG,3609851,Congo,24079.0,0.0,416.0
Burundi,BDI,7858791,Burundi,38698.0,0.0,38.0
China,CHN,1312978855,China,461846.0,0.0,4624.0
Afghanistan,AFG,25067407,Afghanistan,178265.0,0.0,7676.0
Bhutan,BTN,637013,Bhutan,45056.0,0.0,14.0
Chile,CHL,16295102,Chile,3515878.0,939540.0,44803.0
Cayman Islands,CYM,45591,Cayman Islands,21121.0,0.0,26.0
Cameroon,CMR,17795149,Cameroon,119780.0,0.0,1927.0
Chad,TCD,10145609,Chad,7378.0,0.0,192.0
Comoros,COM,797902,Comoros,8100.0,0.0,161.0
Colombia,COL,4494579,Colombia,6088619.0,0.0,139729.0
Costa Rica,CRI,4327228,Costa Rica,844892.0,0.0,8357.0
Central African Republic,CAF,4191429,Central African Republic,14649.0,0.0,113.0
Cuba,CUB,11259905,Cuba,1097675.0,0.0,8520.0
Cape Verde,CPV,506807,Cape Verde,55974.0,0.0,402.0
Cook Islands,COK,13984,Cook Islands,3584.0,0.0,0.0
Cyprus,CYP,836321,Cyprus,461531.0,12111.0,987.0
Denmark,DNK,5416945,Denmark,3091643.0,28957.0,5878.0
Djibouti,DJI,804206,Djibouti,15595.0,0.0,189.0
Dominica,DMA,67827,Dominica,12015.0,0.0,63.0
Dominican Republic,DOM,9469601,Dominican Republic,578626.0,0.0,4375.0
Ecuador,ECU,13060993,Ecuador,876736.0,0.0,22870.0
Egypt,EGY,72849793,Egypt,511977.0,0.0,24522.0
Ireland,IRL,4143294,Ireland,1503252.0,45237.0,6922.0
Equatorial Guinea,GNQ,484098,Equatorial Guinea,16001.0,0.0,183.0
Estonia,EST,1344312,Estonia,565213.0,15218.0,2507.0
Eritrea,ERI,4526722,Eritrea,9732.0,0.0,103.0
El Salvador,SLV,6668356,El Salvador,162181.0,0.0,4124.0
Ethiopia,ETH,78985857,Ethiopia,470108.0,0.0,7509.0
Austria,AUT,8291979,Austria,4004069.0,177069.0,16300.0
Finland,FIN,5246004,Finland,920692.0,17317.0,3150.0
Fiji,FJI,828046,Fiji,64499.0,0.0,836.0
French Polynesia,PYF,255632,French Polynesia,72579.0,0.0,648.0
France,FRA,60990544,France,27640954.0,1905553.0,144081.0
Gambia,GMB,1617029,Gambia,12090.0,0.0,365.0
Gabon,GAB,1290693,Gabon,47588.0,0.0,303.0
Georgia,GEO,4473409,Georgia,1651969.0,0.0,16779.0
Ghana,GHA,2253501,Ghana,161071.0,0.0,1445.0
Grenada,GRD,105237,Grenada,14081.0,0.0,219.0
Greenland,GRL,57475,Greenland,11972.0,0.0,22.0
Germany,DEU,82652369,Germany,23017135.0,1697734.0,132399.0
Guam,GUM,16857,Guam,0.0,0.0,0.0
Greece,GRC,11099737,Greece,3195887.0,0.0,28274.0
Guatemala,GTM,12709564,Guatemala,836234.0,0.0,17403.0
Guinea,GIN,9002656,Guinea,36459.0,0.0,440.0
Guyana,GUY,739472,Guyana,63355.0,0.0,1226.0
Haiti,HTI,9296291,Haiti,30586.0,0.0,912.0
Honduras,HND,683411,Honduras,421288.0,0.0,10982.0
Croatia,HRV,455149,Croatia,1109847.0,0.0,15702.0
Hungary,HUN,10086387,Hungary,1874206.0,0.0,45812.0
Iceland,ISL,295732,Iceland,183975.0,124.0,111.0
India,IND,1134403141,India,43036928.0,0.0,514337.0
Israel,ISR,6692037,Israel,4014423.0,97390.0,10609.0
Italy,ITA,5864636,Italy,15404957.0,1004329.0,161063.0
Cote d'Ivoire,CIV,18584701,Cote d'Ivoire,81868.0,0.0,797.0
Iraq,IRQ,27995984,Iraq,2322303.0,0.0,25186.0
Japan,JPN,127896740,Japan,7122171.0,87896.0,28769.0
Jamaica,JAM,2682469,Jamaica,129093.0,0.0,2917.0
Jordan,JOR,5544066,Jordan,1695067.0,0.0,14055.0
Kenya,KEN,35598952,Kenya,323583.0,0.0,5649.0
Kyrgyzstan,KGZ,5203547,Kyrgyzstan,200970.0,0.0,3434.0
Kiribati,KIR,92003,Kiribati,3073.0,0.0,13.0
Kuwait,KWT,2700,Kuwait,630641.0,0.0,2555.0
Kazakhstan,KAZ,15210609,Kazakhstan,1453468.0,0.0,19294.0
Lebanon,LBN,401074,Lebanon,1094911.0,0.0,10350.0
Latvia,LVA,2301793,Latvia,809917.0,5451.0,5687.0
Belarus,BLR,9795287,Belarus,970750.0,0.0,6882.0
Lithuania,LTU,3425077,Lithuania,1043492.0,0.0,9009.0
Liberia,LBR,3441796,Liberia,7528.0,0.0,294.0
Slovakia,SVK,5386995,Slovakia,2495855.0,138564.0,19618.0
Liechtenstein,LIE,34598,Liechtenstein,16838.0,0.0,84.0
Madagascar,MDG,18642586,Madagascar,64096.0,0.0,1390.0
Mongolia,MNG,2580704,Mongolia,920004.0,0.0,2177.0
Montserrat,MSR,5628,Montserrat,176.0,0.0,3.0
Mali,MLI,1161109,Mali,30589.0,0.0,729.0
Morocco,MAR,30494991,Morocco,1164135.0,0.0,16061.0
Mauritius,MUS,1241173,Mauritius,215002.0,0.0,985.0
Mauritania,MRT,2963105,Mauritania,58710.0,0.0,982.0
Malta,MLT,402617,Malta,87075.0,4099.0,669.0
Oman,OMN,2507042,Oman,388741.0,0.0,4256.0
Maldives,MDV,295297,Maldives,178320.0,0.0,298.0
Mexico,MEX,104266392,Mexico,5723862.0,0.0,316744.0
Malaysia,MYS,25652985,Malaysia,4342559.0,303674.0,35341.0
Mozambique,MOZ,20532675,Mozambique,225317.0,0.0,2234.0
Malawi,MWI,13226091,Malawi,85707.0,0.0,2628.0
New Caledonia,NCL,234185,New Caledonia,60499.0,0.0,312.0
Niue,NIU,1632,Niue,0.0,0.0,0.0
Niger,NER,1326419,Niger,8850.0,0.0,308.0
Aruba,ABW,102897,Aruba,34189.0,0.0,213.0
Anguilla,AIA,12256,Anguilla,2731.0,0.0,10.0
Belgium,BEL,10398049,Belgium,3943831.0,314897.0,31196.0
Hong Kong,HKG,7057418,Hong Kong,1193047.0,0.0,8886.0
Northern Mariana Islands,MNP,80258,Northern Mariana Islands,0.0,0.0,0.0
Andorra,AND,73483,Andorra,40328.0,0.0,155.0
Gibraltar,GIB,291,Gibraltar,17259.0,0.0,101.0
Isle of Man,IMN,78357,Isle of Man,30169.0,0.0,87.0
Luxembourg,LUX,456613,Luxembourg,227687.0,10573.0,1053.0
Monaco,MCO,325,Monaco,11273.0,0.0,59.0
Palestine,PSE,3762005,Palestine,656617.0,0.0,5656.0
Montenegro,MNE,607969,Montenegro,233834.0,0.0,2709.0
Vanuatu,VUT,215366,Vanuatu,5536.0,0.0,6.0
Nigeria,NGA,141356083,Nigeria,255663.0,0.0,3143.0
Netherlands,NLD,1632769,Netherlands,8095824.0,288354.0,22246.0
Norway,NOR,4638836,Norway,1417631.0,0.0,2326.0
Nepal,NPL,27093656,Nepal,978617.0,0.0,11951.0
Nauru,NRU,10111,Nauru,0.0,0.0,0.0
Suriname,SUR,452468,Suriname,79276.0,0.0,1325.0
Nicaragua,NIC,5462539,Nicaragua,18491.0,0.0,231.0
New Zealand,NZL,4097112,New Zealand,795611.0,0.0,497.0
Paraguay,PRY,5904342,Paraguay,648446.0,0.0,18734.0
Peru,PER,27274266,Peru,3552467.0,0.0,213237.0
Pakistan,PAK,158080591,Pakistan,1526829.0,0.0,30362.0
Poland,POL,38195558,Poland,5980220.0,0.0,115696.0
Panama,PAN,3231502,Panama,767067.0,0.0,8177.0
Portugal,PRT,10528226,Portugal,3697814.0,139695.0,21958.0
Papua New Guinea,PNG,6069715,Papua New Guinea,43631.0,0.0,649.0
Guinea-Bissau,GNB,1596929,Guinea-Bissau,8175.0,0.0,170.0
Qatar,QAT,796186,Qatar,363031.0,0.0,677.0
Romania,ROU,21627557,Romania,2875942.0,530809.0,65249.0
Philippines,PHL,84566163,Philippines,3682205.0,0.0,59780.0
Puerto Rico,PRI,3946779,Puerto Rico,0.0,0.0,0.0
Russia,RUS,143953092,Russia,17756183.0,0.0,364779.0
Rwanda,RWA,9233793,Rwanda,129757.0,0.0,1459.0
Saudi Arabia,SAU,2361236,Saudi Arabia,752078.0,0.0,9060.0
Saint Kitts and Nevis,KNA,49138,Saint Kitts and Nevis,5554.0,0.0,43.0
Seychelles,SYC,85532,Seychelles,41152.0,0.0,164.0
South Africa,ZAF,47938663,South Africa,3715333.0,97085.0,99793.0
Lesotho,LSO,1980831,Lesotho,32968.0,0.0,697.0
Botswana,BWA,1835938,Botswana,305859.0,0.0,2688.0
Senegal,SEN,1177034,Senegal,85952.0,0.0,1989.0
Slovenia,SVN,1999425,Slovenia,990788.0,67421.0,6541.0
Sierra Leone,SLE,5586403,Sierra Leone,7677.0,0.0,125.0
Singapore,SGP,4327468,Singapore,1145121.0,0.0,1307.0
Somalia,SOM,8196395,Somalia,26471.0,0.0,1362.0
Spain,ESP,43397491,Spain,11712323.0,1012376.0,104019.0
Saint Lucia,LCA,16124,Saint Lucia,23045.0,0.0,365.0
Sudan,SDN,36899747,Sudan,62047.0,0.0,4925.0
Sweden,SWE,9038049,Sweden,2491980.0,116688.0,18762.0
Switzerland,CHE,7424389,Switzerland,3568616.0,135026.0,13771.0
Trinidad and Tobago,TTO,1323722,Trinidad and Tobago,140781.0,0.0,3787.0
Thailand,THA,63002911,Thailand,3925868.0,0.0,26291.0
Tajikistan,TJK,6550213,Tajikistan,17786.0,0.0,125.0
Tokelau,TKL,1401,Tokelau,0.0,0.0,0.0
Tonga,TON,99361,Tonga,8559.0,0.0,11.0
Togo,TGO,6238572,Togo,36957.0,0.0,272.0
Sao Tome and Principe,STP,152622,Sao Tome and Principe,5951.0,0.0,77.0
Tunisia,TUN,10104685,Tunisia,1038668.0,0.0,28509.0
Turkey,TUR,72969723,Turkey,14149277.0,0.0,98462.0
Tuvalu,TUV,10441,Tuvalu,0.0,0.0,0.0
Turkmenistan,TKM,4833266,Turkmenistan,0.0,0.0,0.0
Uganda,UGA,28947181,Uganda,164117.0,0.0,3602.0
United Kingdom,GBR,60244834,United Kingdom,20909240.0,692244.0,166484.0
Ukraine,UKR,46917544,Ukraine,5040518.0,0.0,112459.0
United States,USA,299846449,United States,80477796.0,8867672.0,986387.0
Burkina Faso,BFA,13933363,Burkina Faso,20865.0,0.0,383.0
Uruguay,URY,3325727,Uruguay,894651.0,0.0,7186.0
Uzbekistan,UZB,26593123,Uzbekistan,238098.0,0.0,1637.0
Saint Vincent and the Grenadines,VCT,119137,Saint Vincent and the Grenadines,9888.0,0.0,106.0
Venezuela,VEN,26725573,Venezuela,521546.0,0.0,5702.0
British Virgin Islands,VGB,22016,British Virgin Islands,6162.0,0.0,62.0
